Mảnh	Time:1.4MB		Time:17.5MB		Time:100MB
4 		4450			4958			26270
6 		3421			4691			27043
8 		2971			4488			22472
10 		2915			4602			23257
12 		3003			4832			23991
14 		2621			4592			23852
16 		2498			4842			21663
18 		2784			4882			23329
20 		2996			5422			22062
22 		3192			4543			24694
24 		2957			4536			23778
